precise,887
all,43
pervert,432
evidence,1256
rubbish,572
grassroots,434
splitting,436
economics,1044
votelabour,438
per,1164
railing,440
go,180
chair,442
hate,258
milk,443
issues,444
apology,1297
certainly,445
voter,446
praises,447
visiting,1217
tweet,449
young,136
send,276
dejavusameoldtories,577
abhorrent,260
to,3
does,452
th,453
stable,454
lord,177
sorry,455
sent,456
ta,457
division,458
updated,459
worse,261
song,460
very,82
allegations,891
horror,462
rise,463
miners,464
falconer,262
moomins,1029
mourn,263
mps,137
stays,468
telling,469
lacking,1051
difference,264
feeble,470
duffy,473
believed,435
school,265
rewriting,1271
morley,474
did,138
cause,875
celebrity,476
list,896
commons,401
cma,479
leader,480
try,481
sang,482
trudeau,483
independence,733
team,179
guy,487
shows,488
round,489
9pm,490
maggie,491
brave,266
says,106
welfare,492
resolute,493
budget,924
cameron,441
likely,494
taker,1184
casual,499
even,139
will,44
what,73
defence,269
business,394
norris,501
change',502
deeply,213
exactly,860
fingers,505
kate,506
scandals,1279
health,729
goes,83
scientists,508
new,96
tribute,510
order,881
officially,511
public,182
seeks,512
movement,513
supporting,183
full,140
zygmunt,514
guardian,516
muslim,160
stared,518
here,141
baroness,519
behaviour,520
met,270
anticipation,521
let,184
address,271
100,272
iraq,496
appears,523
change,524
wait,525
great,74
remarks,868
brilliant,84
potus,528
k,529
changed,185
conti,530
through,933
leaving,531
credit,367
'dog,534
hospitality,535
i'm,274
makes,536
fabulou,537
beautiful,605
fantastic,539
elect,515
mail,681
family,186
claim,541
win,275
julie,542
private,848
thatcher,545
richest,965
immediately,1177
gigs,450
1st,547
viz,548
scandal,549
withdrawing,551
carol,1187
market,278
arse,1073
interest,1229
rises,994
from,52
wealth,553
would,62
insecurity,554
visit,279
two,187
next,555
few,280
wood,906
examination,1223
opposed,559
https,560
vehicle,561
thru,562
outside,685
tell,253
today,36
more,45
main,1247
manchesterattack,565
parliament,107
politics,1259
definition,754
clearly,1053
under,569
pipeline,570
it,15
phone,85
downing,282
everywhere,571
incompetent,1016
off',433
recount,573
mycountry,574
ward,575
appointed,451
must,86
me,188
christmas,1011
account,579
join,581
left,1083
hour,583
rights,283
this,16
challenge,584
cap,128
coalition,586
believes,587
offended,588
values,427
can,37
morgan,591
yup,759
following,189
making,284
brigade,594
my,26
could,595
rufus,596
history,285
control,143
heart,144
buffoonery,597
trump,46
give,190
judge,538
beautifully,600
tax,145
sprotbrough,601
accept,602
days,1043
high,578
professor,879
protects,606
something,286
woodlands,287
despot,607
david,764
hits,977
burning,1218
guarantee,289
!,191
huge,609
needs,610
united,290
end,611
winter,146
thing,318
destroying,612
clarke,1252
meanwhile,615
copious,616
revisit,617
1,57
how,292
globalization,576
usaid,619
anyon,620
low,621
wakefield,622
reject,623
interview,344
place,767
tak,484
panic,628
merkel,917
credible,1202
economy,1057
community,1123
copeland,608
staying,630
recipien,631
plans,380
attend,633
may,58
sunny,604
earlier,147
spot,636
them,364
dc,919
wrong,87
lot,1221
echo,1264
coming,293
president,109
law,638
setting,1281
response,639
man,88
a,11
tories,110
short,294
remember,148
council,273
bullies,641
amid,642
register,829
stein,1114
ambs,955
thorne,644
st,192
q,295
propriety,645
chief,296
courage,646
so,63
road,1200
agenda,648
media,236
banks,649
every,650
volunteers,651
wing,652
talk,653
typical,654
carney,775
breaking,656
northowram,657
indeed,658
over,149
competing,659
ffs,660
soon,661
years,157
course,663
paper,664
london,297
looks,665
cuts,178
mentioned,668
hell,669
doncaster,111
still,670
rubbish',671
its,194
before,298
kicking,967
austerity,299
group,690
thank,300
fit,89
severely,472
donald,1151
gerald,672
trying,898
28,674
",",5
winning,675
better,195
cheltenham,1084
unravels,678
policy,124
inquiry,369
2017,682
responders,683
tory,112
2010,684
2012,234
then,301
non,196
good,302
calm,1226
unveiling,834
seeking,368
food,686
obscene,1209
<PAD/>,0
apologist,816
police,1233
commemorate,667
answer,624
shameful,507
they,91
ambition,689
not,23
now,53
day,150
instructions,691
term,693
aft,688
ht,412
name,1
faire,696
servant,697
james,267
reasonably,698
amoral,700
inequality,306
friendshi,940
truth,701
fitness,307
hotline,702
sneezes,703
bills,704
meal,705
referred,400
week,1061
everyone,308
neil,309
significantly,709
bentley,710
fairly,1062
generation,712
house,113
energy,92
hard,310
principles,713
joined,478
bradley,251
bland,716
manifesto,311
ex,717
begun,718
year,719
eu,151
our,47
principled,720
beyond,312
event,721
really,255
rt,10
canvas,723
open,724
since,197
crucial,725
bad,930
publish,727
george,790
looking,198
re,314
investigation,728
remorse,676
7,730
nic,1066
hearing,1186
gov,315
issue,199
announced,485
housing,407
achievements,735
530,1175
after,736
turning,737
bbcqt,738
love,540
1230pm,847
frank,740
million,200
mechanisms,741
little,589
free,201
70s,743
extraordinary,527
jill,746
surely,747
members,748
ask,749
wanted,552
keith,751
card,752
care,1251
advance,566
ate,755
shocking,756
disguised,757
starts,592
route,317
leftie,760
messages,761
terrible,603
british,763
times,288
motion,202
turn,291
american,765
apologising,766
prejudice,625
gordon,768
w,114
fought,1219
progressives,769
promotion,771
trickle,772
onto,773
think,115
stewart,774
origin,655
courteeners,776
already,777
superbowl,778
striking,779
ago,1294
third,820
meet,780
presidentielle2017,598
powerful,782
fancy,783
one,64
donc,784
plurality,734
done,116
long,786
proposing,787
such,788
vote,117
immensely,789
electronic,320
tomorrow,313
millions,791
passes,792
given,321
inconceivable,793
silent,753
redistributing,1128
interviews,796
thelastleg,797
threatening,798
least,800
anyone,322
their,65
attack,203
2,93
too,152
statement,94
tom,801
legally,802
boot,1269
speaks,694
speaking,204
contro,568
enforcement,804
mining,805
activists,806
'weak,799
mostly,807
that,18
nobody,206
gedling,809
released,877
hillary,811
part,207
worrying,949
dogma,1298
loving,812
kept,813
trolls,814
believe,815
than,90
apprentice,817
11,323
10,818
kind,208
b,819
johnson,640
2015,209
condolences,324
enabled,822
rate,823
regulator,210
matter,824
future,325
friend,825
were,326
briefing,327
hacking,118
listen,803
waterboarding,1133
result,944
and,8
accusing,828
palmer,830
outstanding,831
pretend,750
fights,833
mind,1020
voices,677
tonight,119
talking,836
say,328
meadowhallvsmidland,837
defending,838
have,30
cleaned,839
need,95
confirms,840
nazi,841
any,329
aaand,498
abroad,843
afraid,330
rearranged,844
zero,845
general,846
mechanism,849
majority,331
archive,1261
labour,54
chairman,477
which,332
meeting,1015
finding,852
performance,853
gchq,781
'council,855
relief,1079
reelection,857
memory,858
play,859
sure,500
reality,1270
exec,333
quote,861
price,334
who,59
brexit,120
falls,862
furious,715
everydaysexism,864
experiences,865
plan,121
letter,866
echoes,867
nothing,249
supremely,869
including,870
america,871
why,38
fair,794
death,1100
deny,874
doo,335
hides,876
clear,319
proud,212
shortly,880
lie,1065
playing,827
federal,882
organise,336
error,517
sun,1236
hear,214
'virtue,884
signalling',885
lying,821
joining,215
sector,431
show,259
macron,889
probe,890
homework',461
watch,918
bring,892
refusal,1067
session,338
manchester,217
meadowhall,893
reception,1303
darkest,894
economist,503
debate,122
judges,897
unanimously,337
proposed,339
spineless,899
headline,971
true,901
original,1305
'rich',1074
written,316
should,78
tries,762
failed,904
only,135
going,557
candidates,907
deepest,340
rich,908
pollsters,567
fuel,154
obama,910
local,911
hope,218
loved,912
boris,913
do,39
his,40
above,914
get,155
contracts,915
midnight,916
condemning,629
stop,402
davos,563
bear,637
teamlabour,921
feels,922
cannot,156
words,923
international,509
report,219
trade,662
crossed,590
him,123
prime,158
appetite,1046
ever,744
shape,1089
calling,341
moorends,220
safeguarding,726
stupid,931
she,66
ban,97
outwood,722
buy,1228
where,159
xmas,342
wrote,935
secretary,936
declared,937
set,938
observer,221
solo,939
lawyers,1064
differentials,558
light,1003
freeze,343
elected,941
see,222
computer,942
sec,943
are,49
protecting,945
close,946
photo,909
feared,854
said,211
revolution,785
campaigners,951
reform,952
lots,345
pictures,953
review,346
please,347
prevails,954
mayor,495
3,77
ofcom,55
injustice,956
between,349
affecting,878
downturn,957
'real,958
blocked,350
email,486
50k,1031
ken,223
we,21
explosive,960
ability,351
missing,352
wo,224
deliver,964
sorrow,962
court,963
weak,961
sturgeon,1191
wednesday,714
blame,966
jm,397
job,968
le,969
joe,353
spoil,970
brokers,950
news,98
speaker,1019
come,161
marines,973
jon,974
21,975
hours,883
climate,361
erdogan,978
last,354
signed,979
license,980
chrmn,808
secrets,981
country,67
taking,982
against,225
foreign,226
thinking,1102
s,227
busted,983
doughnut,1126
labourdoorstep,355
china,984
deserved,1188
asked,228
decades,356
allowance,162
'rip,985
flies,986
tough,900
key,988
afternoon,1198
wall,357
peoplesprojects,989
ca,990
others,991
whatever,992
running,993
mugabe,465
karen,229
simply,995
doesn,1255
scottish,996
wider,997
table,998
votevernon,888
speak,358
erased,850
forms,1002
most,863
strong,522
