Appalled by London Bridge attack. Deepest condolences and sorrow for the victims. Utmost admiration for police and emergency services.,1
"When your tax policy unravels five days before the election, things aren't tickety-boo with the campaign... https://t.co/SxnNigEsPh",1
"RT @AndrewSparrow: May 'weak and feeble and spineless over climate change', says Ed Miliband - https://t.co/FogUa80o6V",1
This appears to be another statement we haven't signed. We used to be part of the high ambition coalition.â€_ https://t.co/UGAdceQF5O,1
"Merkel, Macron, Gentiloni, Trudeau, Obama speak out. May hides behind bland Downing St briefing. So bad for Britainâ€_ https://t.co/OoxJw0GHIK",1
.@theresa_may Why are you missing from this statement? You can't stand up for Britain because you won't stand up toâ€_ https://t.co/2VpCI4SP74,1
.@WestEndJCP Can I report someone who has failed to attend two job interviews in 48 hours. I know where she lives.â€_ https://t.co/VqtkPB3lcF,1
Hell No. She's not tough enough... https://t.co/OTo8eAJIzq,1
@ts_ocelot @JamesDMorris Yup. Right address: within margin of error,1
The pollsters have been off my Christmas card list since 2015. #justsaying,1
Well done @jeremycorbyn tonight. These gigs are hard. It was an assured performance.,1
"Tory plans acc. to @TheIFS: Day to day spending cut, welfare cuts of Â£11 billion, 1% public sector pay cap, per pupil spending falls 7%.",1
Very striking that @theresa_may plans 5 more years of austerity(see @TheIFS) but is trying to pretend otherwise. She deserves to be asked...,1
RT @CarolineFlintMP: 3 Ward Challenge #Thorne #Hatfield #Rossington &amp; Monday we do it all over again.  _Ÿ™è @JaynePDunn @lukebassettsyc @Ed_Miâ€_,1
Very proud of Judge Justine...a great achievement. https://t.co/YYsn3paMjk,1
RT @MarinaHyde: This is brilliant and beautiful and incredibly affecting by @alexispetridis https://t.co/HMqOFXf1pX,1
"RT @SkyNews: Defiant poem pays tribute to the spirit of Manchester, written and performed by @LongfellaPoet at the #ManchesterAttack vigil.â€_",1
"RT @TomCMaguire: What an amazing moment, @What_Liam_Said on #Manchester #Courteeners https://t.co/mgvZQcRzpO",1
Deepest sadness and horror at the attack in Manchester. An appalling act of cruelty. My heart goes out to the victims and their families.,1
LOL ---we're in deep doo-doo so let's make something up. https://t.co/3Lo3eW4IMV,1
We need to hear the voice of young people in this election. Register to vote by midnight tonight:â€_ https://t.co/bmm36wvhMZ,1
